variant,task,split,dataset_index,perception,target_initialization,sr,tr,collision,steps,detection_rate,target_precision,target_recall,mean_target_iou,coordinate_takeover_rate,distance_end_m,status
osnet_v4_conservative,dt,val,0,rgb-person-mobilenet-osnet-v4-worker,goal-crop,0.0,0.3225806451612903,0.0,62,0.25806451612903225,1.0,0.3404255319148936,0.8361025080605594,0.7419354838709677,3.400693416595459,Normal
osnet_v4_strict_reid,dt,val,0,rgb-person-mobilenet-osnet-v4-worker,goal-crop,0.0,0.7142857142857143,1.0,56,0.625,1.0,0.6862745098039216,0.8210270608456716,0.375,0.34869077801704407,Collision
osnet_v4_first_visible,at,val,0,rgb-person-mobilenet-osnet-v4-worker,first-visible,0.0,0.7377049180327869,1.0,61,0.5081967213114754,1.0,0.5166666666666667,0.8458621440969635,0.4918032786885246,0.3832440674304962,Collision
