task,split,completed,expected,missing,errors,stale,success_rate_pct,tracking_rate_pct,collision_rate_pct,finish_rate_pct
stt,train,7257,7257,0,0,0,83.91897478296817,37.29471740706831,6.903679206283589,93.09632079371641
stt,val,1405,1405,0,0,0,88.46975088967972,83.19134403908495,4.768683274021352,95.23131672597864
dt,train,7257,7257,0,0,0,78.59997244040237,34.44430891717092,7.137935786137523,92.86206421386248
dt,val,1404,1405,1,0,0,85.82621082621082,77.37411686957876,4.772079772079772,95.22792022792023
at,train,7257,7257,0,0,0,80.61182306738321,50.30244341914029,6.84856001102384,93.15143998897616
at,val,1405,1405,0,0,0,85.26690391459075,81.87706186528466,4.199288256227758,95.80071174377224
